Demographic/Socioeconomic Characteristic,Total,Any Mental Illness,Serious Mental Illness,Any Mental Ilness Excluding Serious Mental Illness,No Mental Illness
TOTAL,1,3.3,7.45,2.05,0.4
AGE GROUP,,,,,
18-25,1.55,4.4,9,2.6,0.5
26 or Older,0.9,3.05,6.95,1.95,0.4
26-49,0.95,3.3,7.3,1.95,0.3
50 or Older,0.75,2.8,6.35,1.95,0.45
GENDER,,,,,
Male,0.9,3.65,8.15,2.4,0.35
Female,1,3.1,7.05,1.8,0.45
HISPANIC ORIGIN AND RACE,,,,,
Not Hispanic or Latino,0.95,3.25,7.2,2,0.4
White,0.9,3.05,7.05,1.75,0.35
Black or African American,1.4,4.9,8.8,3.85,0.75
AIAN,1.35,3.2,,,0.9
NHOPI,,,,,
Asian,0.55,1.85,,0.75,0.35
Two or More Races,1.25,3.7,6.6,2.6,0.35
Hispanic or Latino,1,3.85,9.05,2.45,0.4
HEALTH INSURANCE2,,,,,
Private,0.55,2.05,5.9,1.05,0.2
Medicaid/CHIP,2.75,6.6,12.05,4.35,1.2
Other3,1.15,3.8,8.45,2.5,0.65
No Coverage,1.05,4.2,6.25,3.4,0.2
CURRENT EMPLOYMENT,,,,,
Full-Time,0.5,2,5.3,1.15,0.15
Part-Time,0.8,2.8,7.15,1.3,0.25
Unemployed,2.25,5.6,8.4,4.4,1
Other4,1.55,4.9,9.9,3.25,0.7
